DateTime,Temperature,Cload_Cover,Global_radiation_horizontal,Diffuse_radiation_horizontal,Global_radiation_tilted_plane,Diffuse_radiation_tilted_plane,Solar_azimuth,Height_of_sun,Predicted Electricity Generated
7/14/2018 11:00,9.923004,0,544,73,190,64,155,33.4,67124.01563
7/14/2018 12:00,9.923004,0,643,78,238,69,171.3,37.2,71510.48438
7/14/2018 13:00,9.923004,0,676,79,249,71,170.6,37.1,71587.57813
7/14/2018 14:00,8.584991,0,642,78,219,69,154.4,33.3,58167.51953
7/14/2018 15:00,8.584991,0,542,72,149,64,140.4,26.3,43615.28125
7/14/2018 16:00,8.584991,0,386,61,52,52,129.2,17.2,25959.40625
7/14/2018 17:00,4.154999,0,192,42,37,37,120.1,6.6,6409.094727
7/14/2018 18:00,4.154999,0,27,11,10,10,112.2,0,4670.698242
7/15/2018 8:00,8.153992,0,29,12,8,8,120.1,7,22099.10352
7/15/2018 9:00,8.153992,0,197,42,30,30,129.3,17.6,46642.80078
7/15/2018 10:00,8.153992,0,391,61,109,46,140.5,26.7,57373.37109
7/15/2018 11:00,12.315,0,547,72,192,63,154.6,33.6,58650.14453
7/15/2018 12:00,12.315,0,647,77,240,68,171.3,37.3,62614.80469
7/15/2018 13:00,12.315,0,680,78,251,70,171,37.3,62089.20313
7/15/2018 14:00,10.759,0,646,77,222,68,154.3,33.4,63375.65234
7/15/2018 15:00,10.759,0,546,71,151,63,140.4,26.5,45852.20703
7/15/2018 16:00,10.759,0,389,61,51,51,129.1,17.3,26251.89063
7/15/2018 17:00,6.015991,0,195,42,36,36,120,6.7,6409.094727
7/15/2018 18:00,6.015991,0,28,12,10,10,112.2,0,4670.698242
7/16/2018 8:00,10.819,0,29,12,8,8,120.1,7,20840.19727
7/16/2018 9:00,10.819,0,199,42,30,30,129.2,17.6,45773.77734
7/16/2018 10:00,10.819,0,393,61,111,46,140.5,26.8,57441.85938
7/16/2018 11:00,15.26999,0,550,72,195,64,154.5,33.7,64618.37891
7/16/2018 12:00,15.26999,0,649,77,243,68,171.2,37.5,65869.22656
7/16/2018 13:00,15.26999,0,683,78,254,70,171,37.4,68368.38281
7/16/2018 14:00,14.01501,0,649,77,225,69,154.3,33.6,62734.24219
7/16/2018 15:00,14.01501,0,549,71,155,63,140.3,26.6,45646.61719
7/16/2018 16:00,14.01501,0,392,61,52,52,129.1,17.4,27701.76172
7/16/2018 17:00,2.911011,8,198,42,37,37,119.5,6.8,3448.114014
7/16/2018 18:00,2.911011,8,29,12,10,10,112.1,0,3374.803223
7/17/2018 8:00,13.67599,0,30,12,8,8,119.6,7.1,19839.49023
7/17/2018 9:00,13.67599,0,199,43,31,31,129.1,17.7,45215.98047
7/17/2018 10:00,13.67599,0,394,63,114,48,140.4,26.9,58026.86719
7/17/2018 11:00,16.95001,0,550,74,198,65,154.4,33.8,64160.88281
7/17/2018 12:00,16.95001,0,650,79,246,70,171.2,37.6,64524.38281
7/17/2018 13:00,16.95001,0,684,80,258,72,171,37.6,67671.57813
7/17/2018 14:00,14.923,0,650,79,229,70,154.3,33.7,58731.5625
7/17/2018 15:00,14.923,0,550,74,159,65,140.3,26.7,40920.06641
7/17/2018 16:00,14.923,0,393,63,53,53,129,17.6,30581
7/17/2018 17:00,3.506012,0,199,43,38,38,119.5,6.9,4744.009277
